City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Talbahat,IN,79.57,overcast clouds,25.05,78.4333,PWD Guest House
371,Manono,CD,78.78,broken clouds,-7.3,27.4167,Hotel hewa bora
372,Koulamoutou,GA,76.66,overcast clouds,-1.1303,12.4736,Motel Bouenguidi
373,Mandan,US,74.57,scattered clouds,46.8267,-100.8896,Twin City Estates
374,Angoche,MZ,69.6,light rain,-16.2325,39.9086,Guest House HESADA
380,Kieta,PG,78.66,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
381,Pedasi,PA,76.6,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
382,Bien Hoa,VN,78.78,clear sky,10.95,106.8167,OYO 991 Duy Anh Hotel
386,Hambantota,LK,77.56,overcast clouds,6.1241,81.1185,Bungalow 63
392,Half Moon Bay,US,79.11,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
395,El Alto,PE,69.46,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
399,Zhigansk,RU,67.95,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
401,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
402,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
403,Mujiayingzi,CN,61.84,overcast clouds,42.1167,118.7833,Jinjiang Hotel
404,Plettenberg Bay,ZA,61.84,clear sky,-34.0527,23.3716,Thanda Vista B&B
408,Karasuk,RU,64.99,overcast clouds,53.7377,78.0403,London Siti Otel'
409,Mabay,PH,77.85,scattered clouds,6.0577,124.4666,Bautista Lodging House
413,Mnogovershinnyy,RU,62.04,broken clouds,53.9353,139.9242,Obshchezhitiye 14
417,Grand Gaube,MU,69.39,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
418,Aksarka,RU,60.85,scattered clouds,66.5606,67.7975,
420,Salekhard,RU,60.62,broken clouds,66.53,66.6019,Hotel 89
421,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
422,Ust-Maya,RU,67.62,clear sky,60.4167,134.5333,
423,Qingdao,CN,76.6,clear sky,36.0986,120.3719,Le Meridien Qingdao
425,Ambulu,ID,72.05,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
428,Ranong,TH,77.92,few clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
429,Loubomo,CG,67.06,scattered clouds,-4.1997,12.6739,La Dolisienne
433,Nanning,CN,79.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
434,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
436,Fort Nelson,CA,74.79,smoke,58.8053,-122.7002,The Fort Nelson Hotel
437,Honiara,SB,79.25,scattered clouds,-9.4333,159.95,Heritage Park Hotel
441,Faanui,PF,79.41,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
443,Karratha,AU,67.73,clear sky,-20.7377,116.8463,Karratha International Hotel
444,Preston,GB,64.67,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
445,Kamenka,RU,71.26,broken clouds,51.3223,42.7678,
446,Vallenar,CL,70.45,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
447,Vila Franca Do Campo,PT,73.81,few clouds,37.7167,-25.4333,Pestana Bahia Praia
448,Archidona,ES,76.91,clear sky,37.0965,-4.3887,Hotel Escua
451,Amreli,IN,77.97,overcast clouds,21.6167,71.2333,Hotel Angel
454,Qui Nhon,VN,78.4,scattered clouds,13.7667,109.2333,Seagull Hotel
455,Nouadhibou,MR,73.38,sand,20.931,-17.0347,El Medina
456,Asau,RO,70.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
457,Port Shepstone,ZA,65.64,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
460,Tezu,IN,74.03,scattered clouds,27.9167,96.1667,Circuit House
461,Samarai,PG,78.35,broken clouds,-10.6167,150.6667,Nuli Sapi
462,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
463,Nabire,ID,74.59,broken clouds,-3.3667,135.4833,Hotel Nusantara I
468,Ferrol,ES,67.26,clear sky,43.4832,-8.2369,Hotel Spa Sercotel Odeón
469,Saravan,AM,62.82,clear sky,39.7196,45.6483,
471,Tautira,PF,77.34,light rain,-17.7333,-149.15,Pension Oaoa
472,Vyshkov,RU,62.49,broken clouds,52.4764,31.6873,
474,Kandrian,PG,77.38,broken clouds,-6.2167,149.55,Kandrian Station
478,Jumla,NP,62.85,overcast clouds,29.2747,82.1838,Royal Garden Hotel
480,Birao,CF,69.62,overcast clouds,10.2849,22.7882,
482,Urumqi,CN,79.75,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
484,Abha,SA,70.05,clear sky,18.2164,42.5053,Abha Hotel
487,Shenjiamen,CN,79.81,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
488,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
490,Erice,IT,77.36,clear sky,38.037,12.5865,I Mulini Resort
493,Deogarh,IN,79.57,overcast clouds,21.5333,84.7333,Amit Henej House
494,Ndele,CF,67.96,overcast clouds,8.4109,20.6473,
496,Dezhou,CN,70.79,scattered clouds,37.4486,116.2925,Zhongtai International Hotel
497,Mayumba,GA,69.37,broken clouds,-3.432,10.6554,LIKWALE LODGE
504,Ternate,ID,79.48,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
505,Vanino,RU,63.23,overcast clouds,49.0869,140.2543,Гостиница 5 Звезд
508,Luan,CH,64.85,broken clouds,46.3592,6.9759,Hotel Appartement Castel Club Leysin Parc
509,Touros,BR,76.69,clear sky,-5.1989,-35.4608,INN NEW HORIZON
510,Gradignan,FR,70.05,clear sky,44.7726,-0.6139,Domaine de Raba
511,San Rafael,AR,61.95,clear sky,-34.6177,-68.3301,Hotel San Rafael
512,Haines Junction,CA,62.55,overcast clouds,60.7522,-137.5108,Parkside Inn
514,Dayong,CN,76.23,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
518,Lodja,CD,77.31,overcast clouds,-3.4833,23.4333,
519,Tahe,CN,61.93,overcast clouds,52.3333,124.7333,塔河宾馆
520,Sechura,PE,75.9,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
521,Olga,RU,67.66,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
522,Bandar,ID,74.61,overcast clouds,2.05,99.75,
527,Port-Cartier,CA,66.42,broken clouds,50.0334,-66.8654,Le Q'Artier
530,Perth,AU,63.19,heavy intensity rain,-31.9333,115.8333,Quest on Rheola
531,Salisbury,GB,66.49,scattered clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
534,Tawau,MY,73.53,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
535,Kilindoni,TZ,75.42,light rain,-7.9139,39.6668,Bustani B&B
536,Pokhara,NP,72.09,moderate rain,28.2333,83.9833,OYO 170 Hotel View Point
538,Qinhuangdao,CN,73.2,light rain,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
540,Iwanai,JP,69.33,overcast clouds,42.9744,140.5089,いわない高原ホテル
541,Bangalore,IN,71.42,broken clouds,12.9762,77.6033,The Chancery Hotel
546,Kars,TR,64.85,clear sky,40.602,43.095,Kars Otel
550,Dongsheng,CN,69.46,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
552,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
553,Caravelas,BR,69.78,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
555,Farafangana,MG,66.69,light rain,-22.8167,47.8333,Miarina
556,Tunceli,TR,76.75,clear sky,39.1083,39.5471,Grand Hotel Şaroğlu
558,Aguimes,ES,72.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
559,Cuiluan,CN,69.53,broken clouds,47.72,128.648,Shuncheng Hotel
560,Abu Zabad,SD,75.38,light rain,12.35,29.25,حامد محمد نور
561,Shitanjing,CN,72.45,clear sky,39.2342,106.3439,Yingbin Hotel
562,Khandyga,RU,68.76,broken clouds,62.6667,135.6,Apel'sin
567,Yuanping,CN,63.3,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
568,Mamedkala,RU,73.29,clear sky,42.1677,48.1199,Igry Frifayer
569,Yoichi,JP,70.56,overcast clouds,43.2039,140.7703,Marumatta Farm 21
570,Lang Suan,TH,77.5,scattered clouds,9.9456,99.0785,Langsuan Resort
571,Okhotsk,RU,60.42,clear sky,59.3833,143.3,
574,Wajid,SO,73.78,few clouds,3.8093,43.2471,xamdihotelresturant114
577,Itajuba,BR,78.75,clear sky,-22.4256,-45.4528,Hotel Oriente
579,Shakawe,BW,60.17,clear sky,-18.3667,21.85,Ditlhapi Guest House
580,Paranga,RU,61.18,few clouds,56.7039,49.4047,"Chulpan, Gostinitsa, Mup Pkkh"
583,Kollam,IN,76.86,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
585,Taungdwingyi,MM,79.77,scattered clouds,20.0167,95.55,NayNaing MobileService
586,Antalaha,MG,67.06,few clouds,-14.9003,50.2788,Hotel Vitasoa
587,Padang,ID,77.95,light rain,-0.9492,100.3543,Mercure Padang
588,Osorio,BR,66.34,heavy intensity rain,-29.8867,-50.2697,Hotel Litoral
590,Svobodnyy,RU,67.12,broken clouds,51.4,128.1333,Alekseevskij Hotel
591,Beruwala,LK,78.51,overcast clouds,6.4788,79.9828,The Palms Hotel
593,Daru,PG,75.92,overcast clouds,-9.0763,143.2092,Daru Lodge
594,Port Keats,AU,64.56,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
596,Ca Mau,VN,77.32,scattered clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
598,Manavalakurichi,IN,77.27,overcast clouds,8.1333,77.3,Jebinrio home
601,Chimbote,PE,66.38,overcast clouds,-9.0853,-78.5783,Hotel Briliá
603,Buluang,PH,79.14,heavy intensity rain,13.3068,123.3425,Sacueza Beach Resort
609,Muros,ES,69.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
612,Kismayo,SO,76.5,overcast clouds,-0.3582,42.5454,Agan-Hotel
613,Jining,CN,72.54,clear sky,35.405,116.5814,Yunhe Star Hotel
614,Poya,NC,66.81,clear sky,-21.35,165.15,
618,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
622,Mocuba,MZ,60.64,few clouds,-16.8392,36.9856,Phama Lodge
623,Lukovetskiy,RU,60.19,broken clouds,64.2956,41.9211,Provintsiya
624,Pontianak,ID,74.62,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
627,Belmonte,BR,71.11,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
629,Siklos,HU,76.24,clear sky,45.855,18.2975,Baranya Hotel Üdülőház
630,Kaduqli,SD,71.91,overcast clouds,11.0167,29.7167,Nussyba
631,Raga,SS,67.84,overcast clouds,8.4596,25.678,
633,Belen,TR,73.54,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
635,Gorele,TR,68.7,clear sky,41.0308,39.0031,Görele Öğretmenevi
636,Amapa,BR,76.33,overcast clouds,1.0,-52.0,
638,Dindori,IN,75.43,overcast clouds,22.95,81.0833,Konark Marriage Garden
639,Campina Grande Do Sul,BR,75.69,overcast clouds,-25.3056,-49.0553,Chácara Dorigon
644,Kijang,KR,78.53,clear sky,35.2442,129.2139,Samyang Beach Villa
645,Bembereke,BJ,69.89,moderate rain,10.2283,2.6634,Hotel Bio Guera
646,Ende,ID,70.7,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
647,Jieshou,CN,74.08,overcast clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
649,Altay,CN,65.8,scattered clouds,47.8667,88.1167,Jinqiao Hotel
652,Hazorasp,UZ,76.84,clear sky,41.3194,61.0742,Kemping wifi hotel
654,Saint-Francois,FR,72.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
657,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
658,Ponta Delgada,PT,74.12,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
659,Isperih,BG,69.35,broken clouds,43.7167,26.8333,Guest Rooms Relax
661,Baoqing,CN,68.16,overcast clouds,46.3317,132.2111,Baoqing Hotel
664,Saint-Joseph,RE,66.58,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
666,Chapais,CA,64.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
667,Lagoa Da Canoa,BR,67.51,scattered clouds,-9.8297,-36.7378,Recanto Santo Antonio
671,Fene,ES,64.47,clear sky,43.45,-8.15,Hotel Sarga
672,Cadillac,US,73.31,broken clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
674,Ignacio Zaragoza,MX,73.31,overcast clouds,28.3833,-107.2167,
676,Medvezhyegorsk,RU,60.78,overcast clouds,62.9167,34.4667,Solnechnyy
678,Sarkand,KZ,70.88,few clouds,45.41,79.9186,Гостиница Сарканд
679,Pingdingshan,CN,73.42,clear sky,33.7385,113.3012,Chengfu Hotel
683,Encruzilhada,BR,67.53,clear sky,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
686,Bitung,ID,76.05,broken clouds,1.4451,125.1824,K2 Lembeh
687,Diego De Almagro,CL,73.87,broken clouds,-26.3667,-70.05,hotel luna del desierto
690,Port Hardy,CA,66.38,clear sky,50.6996,-127.4199,Airport Inn-Port Hardy
692,Eureka,US,74.19,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
694,Hobyo,SO,75.65,broken clouds,5.3505,48.5268,Iftin hotel hobyo
696,Swift Current,CA,79.61,scattered clouds,50.2834,-107.8014,"Motel 6 Swift Current, SK"
697,Penzance,GB,65.08,broken clouds,50.1186,-5.5371,Artist Residence Penzance
701,Shimoni,KE,73.96,few clouds,-4.6476,39.3817,Shimoni Reef Lodge
702,Saint Anthony,US,76.48,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
704,Richards Bay,ZA,66.29,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
705,Tura,IN,73.85,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
707,Naryan-Mar,RU,64.18,light rain,67.6713,53.087,Hostel Agat
710,Hornepayne,CA,60.12,overcast clouds,49.2138,-84.7705,Kay-Vee Lodge Ltd
